;Condit;Task;stim_file;coffee1.thisRepN;coffee1.thisTrialN;coffee1.thisN;coffee1.thisIndex;coffee2.thisRepN;coffee2.thisTrialN;coffee2.thisN;coffee2.thisIndex;key_resp_instructions.keys;key_resp_instructions.rt;key_resp_instructions.started;key_resp_instructions.stopped;image_instructions.started;image_instructions.stopped;polygon.started;polygon.stopped;key_resp.keys;key_resp.started;key_resp.stopped;image.started;image.stopped;key_resp.rt;participant;session;date;expName;psychopyVersion;frameRate;
;coffee_a;go;water.png;0;25;25;12;;;;;;;;;;;90.81290929099487;91.31804517199635;space;91.54882735799765;90.56786681899393;91.54882735799765;None;0.34702599501179066;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;26;26;26;;;;;;;;;;;92.8523513830005;93.35602576199744;None;93.61541935599234;None;93.61541935599234;94.12110565599869;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;27;27;15;;;;;;;;;;;95.98721697099973;96.48615343800338;None;96.75033096100378;95.76655356600531;96.75033096100378;97.25751093099825;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;28;28;10;;;;;;;;;;;98.58344742500049;99.09202356399328;space;99.33342804100539;98.33957159999409;99.33342804100539;99.8391146799986;0.7384672059997683;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;29;29;27;;;;;;;;;;;100.97224723399268;101.47162744900561;None;101.71941166199395;None;101.71941166199395;102.22363633199711;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;0;0;20;;;;;;;103.50213567800529;104.00629966899578;None;104.25224035499559;103.2628837999946;104.25224035499559;104.75916454500111;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;1;1;16;;;;;;;105.98711045700475;106.49241471900314;None;106.73695769299229;105.75756203300261;106.73695769299229;107.24230577900016;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;2;2;24;;;;;;;108.47616981000465;108.98588850699889;None;109.22738306899555;108.24272849799308;109.22738306899555;109.72766888099432;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;go;water.png;;;;;0;3;3;12;;;;;;;111.01097230700543;111.52037597099843;space;111.76119196999935;110.78741221099335;111.76119196999935;None;0.3959900629997719;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;go;water.png;;;;;0;4;4;6;;;;;;;112.46145473199431;112.97020428099495;space;113.21236951800529;None;113.21236951800529;None;0.37683083600131795;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
